"price","screensize","memorygb","color","cellular","respID","qID","altID","obsID"
"$549","7.9 in","256 GB","Space Grey","WiFi only",1,1,1,1
"$399","10.2 in","256 GB","Rose Gold","WiFi only",1,1,2,1
"$549","10.2 in","64 GB","Rose Gold","WiFi only",1,1,3,1
"$429","10.2 in","64 GB","Silver","WiFi only",1,1,4,1
"$429","7.9 in","128 GB","Rose Gold","WiFi only",1,2,1,2
"$399","7.9 in","128 GB","Space Grey","WiFi + Cellular",1,2,2,2
"$679","10.2 in","32 GB","Space Grey","WiFi only",1,2,3,2
"$559","7.9 in","128 GB","Silver","WiFi + Cellular",1,2,4,2
"$329","10.2 in","128 GB","Rose Gold","WiFi + Cellular",1,3,1,3
"$679","10.2 in","64 GB","Space Grey","WiFi + Cellular",1,3,2,3
"$429","7.9 in","128 GB","Silver","WiFi only",1,3,3,3
"$529","7.9 in","128 GB","Space Grey","WiFi only",1,3,4,3
"$399","7.9 in","256 GB","Space Grey","WiFi only",1,4,1,4
"$559","10.2 in","64 GB","Space Grey","WiFi only",1,4,2,4
"$529","10.2 in","256 GB","Silver","WiFi only",1,4,3,4
"$429","7.9 in","64 GB","Silver","WiFi only",1,4,4,4
"$429","7.9 in","64 GB","Space Grey","WiFi + Cellular",1,5,1,5
"$559","7.9 in","256 GB","Space Grey","WiFi only",1,5,2,5
"$329","10.2 in","32 GB","Space Grey","WiFi + Cellular",1,5,3,5
"$549","7.9 in","128 GB","Space Grey","WiFi only",1,5,4,5
"$679","7.9 in","64 GB","Rose Gold","WiFi + Cellular",1,6,1,6
"$529","7.9 in","256 GB","Silver","WiFi + Cellular",1,6,2,6
"$679","10.2 in","256 GB","Rose Gold","WiFi + Cellular",1,6,3,6
"$459","7.9 in","64 GB","Rose Gold","WiFi + Cellular",1,6,4,6
"$549","7.9 in","32 GB","Space Grey","WiFi + Cellular",1,7,1,7
"$459","10.2 in","128 GB","Space Grey","WiFi only",1,7,2,7
"$399","7.9 in","128 GB","Silver","WiFi only",1,7,3,7
"$549","7.9 in","64 GB","Rose Gold","WiFi only",1,7,4,7
"$429","7.9 in","64 GB","Space Grey","WiFi only",1,8,1,8
"$429","10.2 in","32 GB","Space Grey","WiFi + Cellular",1,8,2,8
"$679","10.2 in","256 GB","Space Grey","WiFi + Cellular",1,8,3,8
"$399","10.2 in","32 GB","Space Grey","WiFi + Cellular",1,8,4,8
"$679","7.9 in","64 GB","Silver","WiFi + Cellular",2,1,1,9
"$559","10.2 in","64 GB","Silver","WiFi only",2,1,2,9
"$429","10.2 in","128 GB","Space Grey","WiFi + Cellular",2,1,3,9
"$459","7.9 in","128 GB","Rose Gold","WiFi + Cellular",2,1,4,9
"$399","7.9 in","128 GB","Space Grey","WiFi only",2,2,1,10
"$559","7.9 in","256 GB","Rose Gold","WiFi only",2,2,2,10
"$559","10.2 in","32 GB","Space Grey","WiFi only",2,2,3,10
"$459","7.9 in","256 GB","Space Grey","WiFi + Cellular",2,2,4,10
"$429","10.2 in","32 GB","Silver","WiFi + Cellular",2,3,1,11
