"type","price","freshness","respID","qID","altID","obsID"
"Pink Lady",2.5,"Excellent",1,1,1,1
"Fuji",3.5,"Average",1,1,2,1
"Red Delicious",4,"Average",1,2,1,2
"Gala",1.5,"Excellent",1,2,2,2
"Red Delicious",4,"Excellent",1,3,1,3
"Gala",3,"Excellent",1,3,2,3
"Honeycrisp",1.5,"Average",1,4,1,4
"Red Delicious",1.5,"Poor",1,4,2,4
"Pink Lady",1.5,"Average",1,5,1,5
"Fuji",4,"Poor",1,5,2,5
"Gala",2,"Average",1,6,1,6
"Red Delicious",1,"Excellent",1,6,2,6
"Pink Lady",3,"Average",2,1,1,7
"Fuji",1.5,"Excellent",2,1,2,7
"Pink Lady",3,"Poor",2,2,1,8
"Honeycrisp",2,"Excellent",2,2,2,8
"Gala",1.5,"Excellent",2,3,1,9
"Gala",4,"Poor",2,3,2,9
"Honeycrisp",2,"Average",2,4,1,10
"Fuji",2,"Average",2,4,2,10
"Fuji",3,"Excellent",2,5,1,11
"Pink Lady",1.5,"Excellent",2,5,2,11
"Pink Lady",1.5,"Average",2,6,1,12
"Fuji",3,"Average",2,6,2,12
"Gala",3,"Poor",3,1,1,13
"Fuji",2.5,"Excellent",3,1,2,13
"Honeycrisp",3,"Excellent",3,2,1,14
"Fuji",1.5,"Average",3,2,2,14
"Honeycrisp",3,"Poor",3,3,1,15
"Pink Lady",3.5,"Poor",3,3,2,15
"Pink Lady",2,"Excellent",3,4,1,16
"Red Delicious",1,"Poor",3,4,2,16
"Gala",1.5,"Excellent",3,5,1,17
"Honeycrisp",1.5,"Excellent",3,5,2,17
"Pink Lady",3.5,"Excellent",3,6,1,18
"Red Delicious",4,"Average",3,6,2,18
"Fuji",3,"Average",4,1,1,19
"Gala",2.5,"Average",4,1,2,19
"Honeycrisp",4,"Poor",4,2,1,20
"Fuji",1,"Poor",4,2,2,20
"Red Delicious",2.5,"Average",4,3,1,21
"Pink Lady",1.5,"Average",4,3,2,21
"Red Delicious",2.5,"Average",4,4,1,22
"Fuji",3.5,"Average",4,4,2,22
"Honeycrisp",1.5,"Poor",4,5,1,23
"Pink Lady",2.5,"Poor",4,5,2,23
"Fuji",4,"Poor",4,6,1,24
"Pink Lady",3,"Average",4,6,2,24
"Honeycrisp",3,"Poor",5,1,1,25
"Honeycrisp",2.5,"Excellent",5,1,2,25
"Gala",2.5,"Average",5,2,1,26
"Gala",2.5,"Average",5,2,2,26
"Gala",1,"Average",5,3,1,27
"Pink Lady",2,"Excellent",5,3,2,27
"Honeycrisp",4,"Poor",5,4,1,28
"Gala",1.5,"Average",5,4,2,28
"Gala",1.5,"Excellent",5,5,1,29
"Honeycrisp",3.5,"Average",5,5,2,29
"Honeycrisp",1.5,"Average",5,6,1,30
"Red Delicious",2.5,"Average",5,6,2,30
"Red Delicious",4,"Poor",6,1,1,31
"Red Delicious",2,"Excellent",6,1,2,31
"Pink Lady",4,"Excellent",6,2,1,32
"Red Delicious",2.5,"Excellent",6,2,2,32
"Pink Lady",1.5,"Average",6,3,1,33
"Fuji",1,"Poor",6,3,2,33
"Gala",1,"Poor",6,4,1,34
"Honeycrisp",3.5,"Excellent",6,4,2,34
"Honeycrisp",2,"Average",6,5,1,35
"Red Delicious",2,"Poor",6,5,2,35
"Gala",3.5,"Poor",6,6,1,36
"Honeycrisp",4,"Excellent",6,6,2,36
"Gala",1.5,"Average",7,1,1,37
"Pink Lady",3.5,"Excellent",7,1,2,37
"Gala",1.5,"Excellent",7,2,1,38
"Gala",1,"Excellent",7,2,2,38
"Gala",3.5,"Excellent",7,3,1,39
"Gala",3,"Excellent",7,3,2,39
"Gala",2.5,"Excellent",7,4,1,40
"Fuji",3,"Average",7,4,2,40
"Red Delicious",2,"Average",7,5,1,41
"Pink Lady",2.5,"Average",7,5,2,41
"Pink Lady",4,"Excellent",7,6,1,42
"Gala",3.5,"Poor",7,6,2,42
"Gala",3,"Poor",8,1,1,43
"Red Delicious",4,"Poor",8,1,2,43
"Honeycrisp",1.5,"Excellent",8,2,1,44
"Gala",2,"Average",8,2,2,44
"Fuji",4,"Poor",8,3,1,45
"Gala",3,"Poor",8,3,2,45
"Fuji",4,"Excellent",8,4,1,46
"Gala",1,"Poor",8,4,2,46
"Pink Lady",3,"Excellent",8,5,1,47
"Pink Lady",1,"Average",8,5,2,47
"Red Delicious",2.5,"Excellent",8,6,1,48
"Pink Lady",4,"Excellent",8,6,2,48
"Gala",4,"Excellent",9,1,1,49
"Pink Lady",3.5,"Average",9,1,2,49
"Honeycrisp",2,"Excellent",9,2,1,50
"Red Delicious",3.5,"Average",9,2,2,50
"Fuji",3,"Poor",9,3,1,51
"Fuji",1.5,"Poor",9,3,2,51
"Honeycrisp",2,"Average",9,4,1,52
"Gala",3,"Average",9,4,2,52
"Pink Lady",3.5,"Excellent",9,5,1,53
"Gala",3,"Poor",9,5,2,53
"Pink Lady",1,"Poor",9,6,1,54
"Honeycrisp",3.5,"Poor",9,6,2,54
"Red Delicious",1.5,"Poor",10,1,1,55
"Pink Lady",2,"Excellent",10,1,2,55
"Gala",1.5,"Poor",10,2,1,56
"Pink Lady",1,"Poor",10,2,2,56
"Honeycrisp",1.5,"Poor",10,3,1,57
"Gala",2.5,"Excellent",10,3,2,57
"Red Delicious",2.5,"Excellent",10,4,1,58
"Pink Lady",4,"Average",10,4,2,58
"Pink Lady",3.5,"Excellent",10,5,1,59
"Honeycrisp",4,"Excellent",10,5,2,59
"Gala",4,"Average",10,6,1,60
"Honeycrisp",2,"Average",10,6,2,60
"Red Delicious",3.5,"Average",11,1,1,61
"Fuji",1,"Average",11,1,2,61
"Fuji",1.5,"Average",11,2,1,62
"Honeycrisp",1.5,"Poor",11,2,2,62
"Gala",2,"Poor",11,3,1,63
"Fuji",2.5,"Average",11,3,2,63
"Gala",1.5,"Excellent",11,4,1,64
"Pink Lady",3.5,"Average",11,4,2,64
"Fuji",2,"Excellent",11,5,1,65
"Red Delicious",1,"Average",11,5,2,65
"Honeycrisp",1,"Average",11,6,1,66
"Pink Lady",2.5,"Average",11,6,2,66
"Red Delicious",4,"Average",12,1,1,67
"Fuji",1,"Poor",12,1,2,67
"Fuji",2.5,"Poor",12,2,1,68
"Honeycrisp",4,"Average",12,2,2,68
"Pink Lady",3.5,"Average",12,3,1,69
"Pink Lady",3.5,"Poor",12,3,2,69
"Fuji",1.5,"Poor",12,4,1,70
"Gala",4,"Excellent",12,4,2,70
"Pink Lady",2.5,"Excellent",12,5,1,71
"Pink Lady",3.5,"Poor",12,5,2,71
"Pink Lady",3,"Poor",12,6,1,72
"Red Delicious",1.5,"Average",12,6,2,72
"Honeycrisp",4,"Average",13,1,1,73
"Fuji",2,"Average",13,1,2,73
"Red Delicious",2,"Excellent",13,2,1,74
"Fuji",3.5,"Excellent",13,2,2,74
"Honeycrisp",3,"Excellent",13,3,1,75
"Red Delicious",3,"Poor",13,3,2,75
"Gala",3,"Excellent",13,4,1,76
"Honeycrisp",3,"Excellent",13,4,2,76
"Pink Lady",2.5,"Poor",13,5,1,77
"Honeycrisp",2,"Excellent",13,5,2,77
"Pink Lady",4,"Excellent",13,6,1,78
"Pink Lady",1.5,"Average",13,6,2,78
"Fuji",3,"Average",14,1,1,79
"Honeycrisp",2,"Poor",14,1,2,79
"Pink Lady",3.5,"Average",14,2,1,80
"Honeycrisp",3,"Poor",14,2,2,80
"Gala",1.5,"Average",14,3,1,81
"Red Delicious",2,"Excellent",14,3,2,81
"Honeycrisp",2,"Excellent",14,4,1,82
"Red Delicious",2.5,"Poor",14,4,2,82
"Gala",2.5,"Poor",14,5,1,83
"Pink Lady",1,"Excellent",14,5,2,83
"Gala",4,"Average",14,6,1,84
